
a	(thông tục) loại a
aftergrowth	lúa dẻ
afterimage	dư ảnh
afterlight	(sân khấu) ánh sáng phía sau
aftermath	(như) after-grass
aftermost	(hàng hải) ở đuôi tàu
afternoon	buổi chiều
afterpiece	(sân khấu) tiết mục đuôi (tiết mục phụ thường là khôi hài
afters	(thông tục) món phụ sau (món ăn phụ
aftershock	(địa lý
aftertaste	dư vị
afterthought	sự suy nghĩ sau khi hành động; ý nghĩ nảy ra quá muộn (sau khi việc đã làm xong mất rồi)
afterward	sau này
afterwards	sau này
afterword	lời bạt (cuối sách)
afterworld	kiếp sau
again	lại
against	chống lại
agamic	(sinh vật học) vô tính
agamogenesis	sự sinh sản vô tính
agamous	(sinh vật học) vô tính
agape	há hốc mồm ra (vì kinh ngạc)
agar-agar	Aga
agaric	(thực vật học) nấm tán
agaricaceous	(thực vật học) thuộc họ nấm tán
agate	đá mã não
agave	(thực vật học) cây thùa
agaze	đang nhìn đăm đăm
age	tuổi
age-old	lâu đời
aged	làm cho già đi
agedness	tuổi già
ageing	sự hoá già
ageless	trẻ mãi không già
agelong	lâu hàng đời
agency	tác dụng
agenda	(số nhiều) những việc phải làm
agent	người đại lý
agglomerant	(hoá học) chất làm kết tụ
agglomerate	tích tụ
agglomeration	sự tích tụ
agglomerative	làm tích tụ
agglutinant	chất dính
agglutinate	dính kết
agglutination	sự dính kết
agglutinative	làm dính kết
aggrandize	làm to ra
aggrandizement	sự làm to ra
aggravate	làm trầm trọng thêm
aggravating	làm trầm trọng thêm
aggravation	sự làm trầm trọng thêm
aggregate	tập hợp lại
aggregation	sự tập hợp
aggregative	tập hợp
aggress	(từ hiếm
aggression	sự xâm lược
aggressive	xâm lược
aggressiveness	tính chất xâm lược
aggressor	kẻ xâm lược
aggrieve	(thường)
aghast	kinh ngạc; kinh hãi; kinh hoàng; thất kinh
agile	nhanh nhẹn
agility	sự nhanh nhẹn
aging	sự hoá già
agio	tiền lời
agiotage	nghề đổi tiền
agip prop	sự tuyên truyền cổ động
agist	nhận cho vật nuôi vào ăn cỏ
agitate	lay động
agitation	sự lay động
agitator	người khích động quần chúng
aglet	miếng kim loại bịt đầu dây (dây giày...)
agley	(Ê-cốt) xiên
aglow	đỏ rực
agnail	chỗ xước mang rô (ở cạnh móng tay)
agnate	thân thuộc phía cha
agnation	quan hệ phía cha
agnomen	tên hiệu
agnomina	tên hiệu
agnostic	(triết học) (thuộc) thuyết không thể biết
agnosticism	(triết học) thuyết không thể biết
ago	trước đây
agog	nóng lòng
agonic	không hợp thành góc
agonise	chịu đau đớn
agonistic	(thuộc) cuộc thi đấu điền kinh
agonize	chịu đau đớn
agonizing	làm đau đớn
agony	sự đau đớn
agoraphobia	chứng sợ khoảng rộng
agouti	(động vật học) chuột lang aguti
agouty	(động vật học) chuột lang aguti
agrarian	(thuộc) ruộng đất
agree	đồng ý
agreeability	tính dễ chịu
agreeable	dễ chịu
agreeableness	tính dễ chịu
agreement	hiệp định
agrestic	ở nông thôn
agrément	(ngoại giao) sự chấp thuận (nhận một đại diện ngoại giao)
agricultural	(thuộc) nông nghiệp
agriculturalist	nhà nông học ((cũng) scientific agriculturalist)
agriculture	nông nghiệp
agriculturist	nhà nông học ((cũng) scientific agriculturalist)
agrimotor	(nông nghiệp) máy kéo
agrobiological	(thuộc) nông sinh học
agrobiologist	nhà nông sinh học
agrobiology	nông sinh học
agronomic	(thuộc) nông học
agronomical	(thuộc) nông học
agronomics	nông học
agronomist	nhà nông học
agronomy	nông học
aground	mắc cạn (thuyền
ague	cơn sốt rét
ague-cake	(y học) bệnh sưng lá lách do sốt rét
aguish	(thuộc) bệnh sốt rét; gây bệnh sốt rét
ah	a!
aha	a ha!
ahead	trước
aheap	thành đồng
ahem	a hèm! (hắng giọng để làm cho người ta chú ý hay để có thì giờ suy nghĩ...)
ahoy	(hàng hải) bớ! ới! (tiếng thuỷ thủ dùng để gọi thuyền
ahull	(hàng hải) buồm cuốn hết
aiblins	có lẽ
aid	sự giúp đỡ
aid man	(từ Mỹ
aid station	(quân sự) bệnh xá dã chiến
aide	(quân sự) sĩ quan phụ tá
aide-de-camp	(quân sự) sĩ quan phụ tá
aide-mémoire	bản ghi chép tóm tắt cho dễ nhớ
aides-de-camp	(quân sự) sĩ quan phụ tá
aiglet	miếng kim loại bịt đầu dây (dây giày...)
aigrette	(động vật học) cò bạch
aiguille	mỏm đá nhọn
aiguillette	dây tua (quân phục) ((cũng) aglet)
ail	làm đau đớn
ailanthus	(thực vật học) cây lá lĩnh
aileron	((thường) số nhiều) (hàng không) cánh nhỏ (có thể lật lên lật xuống được) (ở máy bay)
ailing	sự ốm đau
ailment	sự đau đớn
aim	sự nhắm
aimless	không mục đích
air	không khí
air beacon	đèn hiệu cho máy bay
air chief-marshal	(quân sự) thượng tướng không quân (Anh)
air commodore	(quân sự) thiếu tướng không quân (Anh)
air crew	toàn thể người lái và nhân viên trên máy bay
air force	(quân sự) không quân
air hardening	uenching) 
air hoist	(kỹ thuật) thang máy khí động; máy nhấc khí động
air mail	bưu phẩm gửi bằng máy bay
air map	bản đồ hàng không
air post	bưu phẩm gửi bằng máy bay
air power	(quân sự) không lực
air raid	cuộc oanh tạc bằng máy bay
air scout	máy bay trinh sát
air staff	bộ tham mưu không quân
air umbrella	(quân sự) lực lượng không quân yểm hộ (cho một trận đánh)
air vice-marshal	(quân sự) thiếu tướng không quân (Anh)
air war	chiến tranh bằng không quân
air-ball	quả bóng thổi (đồ chơi trẻ em)
air-balloon	(như)[air bail]
air-barrage	hàng rào khí cầu phòng không
air-base	(quân sự) căn cứ không quân
air-bed	nệm hơi
air-bladder	(sinh vật học) bong bóng hơi
air-blast	luồng không khí
air-boat	thuyền bay
air-borne	được mang ở trên không
air-brake	phanh bơi
air-brick	gạch có lỗ
air-bridge	(hàng không) cầu hàng không (đường bay giữa hai địa điểm)
air-bump	(hàng không) lỗ hổng không khí
air-burst	sự nổ ở trên không (bom...)
air-cell	(giải phẫu) túi phổi
air-chamber	săm (xe đạp
air-cock	vòi xả hơi
air-condition	điều hoà không khí
air-conditioned	đã được điều hoà không khí
air-conditioner	máy điều hoà không khí
air-conditioning	sự điều hoà không khí
air-cool	làm nguội bằng không khí
air-cooled	được làm nguội bằng không khí
air-cooling	sự làm nguội bằng không khí
air-cushion	gối hơi
air-defence	(quân sự) sự phòng không
air-exhauster	(kỹ thuật) cái quạt đầy gió
air-frame	(hàng không) khung máy bay
air-freighter	máy bay vận tải
air-gauge	cái đo khí áp
air-gun	súng hơi
air-hammer	búa hơi
air-highway	đường hàng không
air-hole	lỗ thông hơi
air-hostess	cô phục vụ trên máy bay
air-jacket	áo hơi (để cứu đuối)
air-lift	cầu hàng không (để ứng cứu)
air-line	đường hàng không
air-liner	máy bay chở hành khách lớn
air-lock	(kỹ thuật) nút không khí
air-marshal	(quân sự) trung tướng không quân
air-mechanic	thợ máy trên máy bay
air-minded	thích ngành hàng không
air-mindedness	tính thích ngành hàng không
air-monger	người hay mơ tưởng hão
air-photography	sự chụp ảnh từ máy bay
air-pipe	ống thông hơi
air-pocket	(hàng không) lỗ hổng không khí
air-port	sân bay (thường là dân dụng)
air-proof	roof) 
air-pump	bơm hơi
air-quenching	uenching) 
air-raid	(thuộc) sự oanh tạc bằng máy bay
air-route	đường hàng không
air-shaft	hầm mỏ thông gió
air-sick	say gió (khi đi máy bay)
air-sickness	chứng say gió (khi đi máy bay)
air-speed	tốc độ của máy bay
air-speed indicator	peed_meter) 
air-speed meter	peed_meter) 
air-stop	ga máy bay trực thăng (chở hành khách)
air-strip	đường băng
air-tight	roof) 
air-to-air	không đối không
air-to-ground	không đối đất
air-track	đường hàng không
air-unit	(quân sự) đơn vị không quân
aircraft	máy bay
aircraft carrier	tàu sân bay
aircraftman	(quân sự) lính không quân (Anh)
airdrome	(từ Mỹ
airfield	trường bay
airfoil	cánh máy bay
airily	nhẹ nhàng
airiness	sự thoáng gió
airing	sự làm cho thoáng khí
airless	không có không khí
airman	người lái máy bay
airmanship	thuật lái máy bay
airphoto	ảnh chụp từ máy bay
airplane	(từ Mỹ
airscrew	cánh quạt máy bay
airshed	nhà để máy bay
airship	khí cầu
airway	chiến tranh bằng không quân
airwoman	nữ phi công
airworthiness	khả năng bay được (máy bay)
airworthy	bay được (máy bay)
airy	ở trên cao
aisle	cánh
ait	cù lao
aitchbone	xương đùi (bò)
ajar	mở hé
ajog	đi nước kiệu nhỏ (ngựa)
akene	(thực vật học) quả bế
akimbo	chống nạnh
akin	thân thuộc
alabaster	(khoáng chất) thạch cao tuyết hoa
alack	(từ cổ
alackaday	(từ cổ
alacrity	sự sốt sắng
alar	(thuộc) cánh; giống cánh; hình cánh
alarm	sự báo động
alarm-clock	đồng hồ báo thức
alarm-post	(quân sự) nơi tập trung quân đội khi có báo động
alarming	làm lo sợ
alarmist	người hay gieo hoang mang sợ hãi
alarum	(thơ ca) sự báo động
alas	chao ôi!
alb	áo dài trắng (của thầy tu
albacore	(động vật học) cá ngừ
albanian	(thuộc) An-ba-ni
albata	hợp kim mayso
albatross	chim hải âu lớn
albeit	(từ cổ
albert	dây đồng hồ anbe ((cũng)[Albert chain]) (lấy tên của ông hoàng An-be
albescent	albinism	(y học) chứng bạch tạng
albino	người bạch tạng
albion	(thơ ca) nước Anh
albite	(khoáng chất) Fenspat trắng
albugo	(y học) chứng vảy cá (ở mắt)
album	tập ảnh
albumen	lòng trắng
albumenize	phết một lớp anbumin (giấy ảnh)
albumin	(hoá học) Anbumin
albuminoid	(hoá học) Anbuminoit
albuminous	(thuộc) anbumin; có anbumin
albuminuria	(y học) chứng đái anbumin
alburnum	dác (gỗ)
alchemic	(thuộc) thuật giả kim
alchemical	(thuộc) thuật giả kim
alchemise	làm biến đổi (như thể bằng thuật giả kim)
alchemist	nhà giả kim
alchemize	làm biến đổi (như thể bằng thuật giả kim)
alchemy	thuật giả kim
alcohol	rượu cồn
alcoholic	(thuộc) rượu; có chất rượu; gây nên bởi rượu
alcoholise	cho chịu tác dụng của rượu
alcoholism	tác hại của rượu (đối với cơ thể)
alcoholization	sự cho chịu tác dụng của rượu
alcoholize	cho chịu tác dụng của rượu
alcoholometer	ống đo rượu
alcoholometry	phép đo rượu
alcoran	kinh Co-ran (đạo Hồi)
alcove	góc phòng thụt vào (để đặt giường...)
aldehyde	(hoá học) Anđehyt
alder	(thực vật học) cây tổng quán sủi
alderman	uỷ viên hội đồng thành phố
aldermanry	quận có uỷ viên trong hội đồng thành phố
aldermanship	chức uỷ viên hội đồng thành phố
ale	rượu bia
ale-house	quán bia
ale-wife	bà chủ quán bia
aleak	có lỗ rò
aleatory	may rủi
alee	(hàng hải) dưới gió
alegar	rượu bia chua
alembic	nồi chưng
alert	tỉnh táo
alertness	sự tỉnh táo
aleuron	(thực vật học) hạt alơron
aleurone	(thực vật học) hạt alơron
alexandrine	thể thơ alexanđrin (mỗi câu có mười hai âm tiết)
alexin	(y học) chất alexin
alexipharmic	giải độc
alfalfa	(thực vật học) cỏ linh lăng
alfresco	ở ngoài trời
alga	(thực vật học) tảo
algae	(thực vật học) tảo
algebra	đại số học
algebraic	đại số
algebraical	đại số
algebraist	nhà đại số học
algerian	(thuộc) An-giê-ri
algerine	(thuộc) An-giê-ri
algid	lạnh giá
algidity	sự lạnh giá
algologist	nhà nghiên cứu tảo
algology	khoa nghiên cứu tảo
algorism	thuật toán
algorithm	thuật toán
alias	bí danh
alibi	(pháp lý) chứng cớ vắng mặt (để chứng tỏ rằng khi sự việc xảy ra thì mình ở nơi khác)
alicylic	(hoá học) (thuộc) vòng no
alidad	(kỹ thuật) Aliđat
alidade	(kỹ thuật) Aliđat
alien	(thuộc) nước ngoài
alienability	(pháp lý) tính có thể chuyển nhượng được
alienable	(pháp lý) có thể chuyển nhượng được
alienate	làm cho giận ghét; làm cho xa lánh
alienation	sự làm cho giận
alienator	(pháp lý) người chuyển nhượng (tài sản...)
alienee	(pháp lý) người được chuyển nhượng
alienism	tính cách ngoại kiều
alienist	(y học) người bị bệnh tinh thần
aliform	hình cánh
alight	cháy
align	sắp cho thẳng hàng
alignment	sự sắp thẳng hàng
alike	giống
aliment	đồ ăn
alimental	dùng làm đồ ăn; nuôi dưỡng
alimentary	(thuộc) đồ ăn; nuôi dưỡng
alimentation	sự nuôi cho ăn
alimony	sự nuôi cho ăn
aline	sắp cho thẳng hàng
alinement	sự sắp thẳng hàng
aliped	(động vật học) có chân cánh
aliphatic	(hoá học) béo
aliquote	(toán học) ước số
alive	sống
alizarin	(hoá học) Alizarin
alizarine	(hoá học) Alizarin
alkalescence	(hoá học) độ kiềm nhẹ
alkalescent	(hoá học) có độ kiềm nhẹ
alkali	(hoá học) chất kiềm
alkalifiable	(hoá học) có thể kiềm hoá
alkalify	(hoá học) kiềm hoá
alkalimeter	(hoá học) cái đo kiềm
alkalimetric	(hoá học) (thuộc) phép đo kiềm
alkalimetry	(hoá học) phép đo kiềm
alkaline	(hoá học) kiềm
alkalization	(hoá học) sự kiềm hoá
alkalize	(hoá học) kiềm hoá
alkaloid	(hoá học) Ancaloit
all	tất cả
all fools' day	ool-dat) 
all right	bình yên vô sự; khoẻ mạnh
all saints' day	(tôn giáo) ngày lễ các thánh
all souls' day	(tôn giáo) ngày lễ vong hồn
all-around	(thể dục
all-clear	còi báo an (lúc báo động phòng không)
all-embracing	bao gồm tất cả
all-fired	(từ Mỹ
all-hallows	các thánh
all-in	bao gồm tất cả
all-in-all	tất cả (cho ai)
all-in-wrestling	(thể dục
all-out	dốc hết sức
all-overish	(thông tục) cảm thấy khó ở; cảm thấy đau mỏi khắp người
all-overishness	sự khó ở; sự đau mỏi khắp người
all-powerful	nắm hết quyền lực; có mọi quyền lực
all-purpose	nhiều mặt
all-round	toàn diện
all-rounder	người toàn diện
all-steel	toàn bằng thép
all-up	(hàng không) tổng trọng lượng bay (gồm máy bay
all-wool	toàn bằng len
allah	(tôn giáo) thánh A-la
allay	làm giảm
allegation	sự viện lý
allege	cho là
alleged	được cho là
allegiance	lòng trung thành (nghĩa đen) & (nghĩa bóng))
allegoric	có tính chất phúng dụ
xem allegoric
xem allegorize
allegorist	nhà ngụ ngôn
allegorize	phúng dụ
allegory	phúng dụ
allegretto	(âm nhạc) hơi nhanh
allegro	(âm nhạc) nhanh
alleluia	bài hát ca ngợi Chúa
allemande	điệu múa dân gian Đức
allergic	(y học) dị ứng
allergy	(y học) dị ứng
alleviate	làm nhẹ bớt
